"Project: Project Name","Stage Reason","Dealertrack ID","Start Date","Service Account(s) (DMKT)","Service Account (DMKT)"
"BOA - MA - Mastria Subaru Of Raynham - Project -","RouteOne","749436","10/24/2017","",""
"BOA - CALIFORNIA - Honda Santa Monica","RouteOne","755563","8/6/2019","",""
"BOA - NEW YORK - Mohawk Chevrolet","DT Enrollment Needed","756267","3/27/2020","",""
"BOA - VIRGINIA - Mcgeorge Toyota Certified Sale","RouteOne","756320","2/10/2020","",""
"BOA - MASSACHUSETTS - McGovern Ford","RouteOne","756976","10/2/2019","","mcgovernfordlend"
"BOA - TEXAS - CarMax Lubbock","DT Enrollment Needed","759008","3/10/2020","",""
"BOA - NEBRASKA - Janssen Chrysler Jeep Dodge Ram Holdrege","DT Enrollment Needed","761035","10/15/2019","",""
"BOA - TEXAS - HENSON CHEVROLET BUICK GMC","RouteOne","764367","10/6/2019","",""
"BOA - COLORADO - Carmax Parker Prk 6010","No Dealer Contact Info","765522","11/4/2019","",""
"BOA - SOUTH CAROLINA - Charleston Nissan","DMKT - Prod - Client Non-Responsive","770374","9/23/2019","",""
"BOA - TEXAS - Sewell Cadillac Buick GMC of Midland","DT Enrollment Needed","771338","4/30/2020","",""
"BOA - MISSOURI - David Taylor Ellisville Chrysler Dodge Jeep RAM","DT Enrollment Needed","775370","4/15/2020","davidtaylorellisvillecdjrmolend",""
"BOA - ILLINOIS - Pennington Ford","DT Enrollment Needed","775796","3/10/2020","penningtonfordlend",""
"BOA - GA - Autonation Chrysler Dodge Jeep Ram North Columbus - Project -","AutoNation","778022","11/13/2017","",""
"BOA - GA - Autonation FIAT Columbus - Project -","AutoNation","778024","11/13/2017","",""
"BOA - GA - Autonation Chrysler Dodge Jeep Ram South Columbus - Project -","AutoNation","778025","11/13/2017","",""
"BOA - GA - Autonation Volkswagen Columbus - Project -","AutoNation","778030","11/14/2017","",""
"BOA - TN - Autonation Chrysler Dodge Jeep Ram & Fiat Johnson City - Project -","AutoNation","778037","11/14/2017","",""
"BOA - NEW YORK - NYE VOLKSWAGEN OF ROME","DT Enrollment Needed","778367","3/10/2020","",""
"BOA - VIRGINIA - Carvana - Richmond","Inventory Delay","786062","3/27/2020","carvanapetersburglend",""
"BOA - MISSISSIPPI - CarMax Gulfport","Inventory Delay","792677","3/27/2020","",""
"BOA - ILLINOIS - OBRIEN TOYOTA OF PEORIA","DT Enrollment Needed","793021","1/22/2020","obrientoyotaofpeorialend",""
"BOA - MISSISSIPPI - Meridian Honda","Inventory Delay","793052","3/5/2018","",""
"BOA - MA - Mastria Kia - Project -","RouteOne","793187","10/13/2017","",""
"BOA - SOUTH CAROLINA - Stokes Hodges Ford","DT Enrollment Needed","796262","4/21/2020","",""
"BOA - NJ - Alfa Romeo of Morris County - Project -","RouteOne","796952","10/24/2017","",""
"BOA - TX - AUTONATION USA - HOUSTON - Project -","AutoNation","804252","11/13/2017","",""
"BOA - NEW JERSEY - Subaru Of Cherry Hill","DMKT - Prod - Reason (noted/explained in DNA ticket)","804404","11/25/2019","",""
"BOA - FLORIDA - Naples Mazda","DT Enrollment Needed","804482","3/25/2019","",""
"BOA - SOUTH CAROLINA - LUGOFF CHEVROLET BUICK GMC","DT Enrollment Needed","806016","4/6/2020","lugoffchevroletbuickgmclend",""
"BOA - NEVADA - CARMAX RENO 7280","No Dealer Contact Info","806064","11/4/2019","",""
"BOA - NORTH CAROLINA - CarMax Capital Blvd 7282","No Dealer Contact Info","806065","4/30/2020","",""
"BOA - OHIO - CARMAX CLEVELAND EAST 7165","No Dealer Contact Info","806066","11/4/2019","",""
"BOA - MINNESOTA - CARMAX BROOKLYN PARK 6008","No Dealer Contact Info","806068","11/4/2019","",""
"BOA - FLORIDA - CARMAX GAINESVILLE 6037","No Dealer Contact Info","806070","11/4/2019","",""
"BOA - ILLINOIS - Carmax O'Fallon 6007","No Dealer Contact Info","806087","11/4/2019","",""
"BOA - ILLINOIS - CARMAX SPRINGFIELD 7188","No Dealer Contact Info","806088","11/4/2019","",""
"BOA - MASSACHUSETTS - CarMax Westborough 6067","No Dealer Contact Info","806093","11/4/2019","",""
"BOA - TENNESSEE - CARMAX BRISTOL 6082","No Dealer Contact Info","806094","11/4/2019","",""
"BOA - IDAHO - CARMAX BOISE 6039","No Dealer Contact Info","806096","11/4/2019","",""
"BOA - TENNESSEE - Lincoln of Memphis","DT Enrollment Needed","810330","5/16/2019","",""
"BOA - WISCONSIN - Confidential Kunes Country CDJR of Platteville","RouteOne","816265","1/23/2020","",""
"BOA - VIRGINIA - Country Buick GMC of Leesburg LLC","DT Enrollment Needed","816470","1/19/2020","countrybuickgmcofleesburglend",""
"BOA - NEW YORK - Maserati of White Plains","RouteOne","816589","12/17/2018","",""
"BOA - NEW YORK - Alfa Romeo of White Plains","RouteOne","816593","12/13/2018","",""
"BOA - WISCONSIN - Kunes Country CDJR Of Barneveld","DT Enrollment Needed","817636","3/27/2020","kunescountrycdjrofbarneveldlend",""
"BOA - VIRGINIA - Parks Chevrolet","Inventory Delay","819153","2/16/2020","parkschevroletlend",""
"BOA - SOUTH CAROLINA - Davis Toyota of Orangeburg","RouteOne","822166","1/22/2020","",""
"BOA - SOUTH CAROLINA - Davis Toyota of Orangeburg","RouteOne","822166","3/24/2020","davistoyotaoforangeburglend",""
